scenario_id,mission_title,research_domain,topic_cluster,difficulty,sme_owner,timeframe_start,timeframe_end,allowed_domains,focus_semantics,output_type,audience,question,expected_answer
spatial_semantics_scene_graphs_002,Spatial Semantics and Scene Graphs — USD semantics and object classification pipelines (executive memo),Spatial Semantics and Scene Graphs,spatial_semantics_scene_graphs,high,Scene Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, omniverse.nvidia.com, github.com",USD semantics and object classification pipelines,executive memo,R&D director,"Build executive memo focused on USD semantics and object classification pipelines for the R&D director. Restrict the search to arxiv.org, omniverse.nvidia.com, github.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Spatial Semantics and Scene Graphs, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
robotics_simulation_002,Robotics Simulation — Synthetic data workflows for robotics perception (executive memo),Robotics Simulation,robotics_simulation,high,Robotics Evaluation Lead,2026-01-01,2026-03-31,"blogs.nvidia.com, developer.nvidia.com, arxiv.org",synthetic data workflows for robotics perception,executive memo,R&D director,"Build executive memo focused on synthetic data workflows for robotics perception for the R&D director. Restrict the search to blogs.nvidia.com, developer.nvidia.com, arxiv.org and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Robotics Simulation, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
industrial_ai_scouting_002,Industrial AI Scouting — Simulation-backed industrial decision support (executive memo),Industrial AI Scouting,industrial_ai_scouting,high,Industrial Innovation Lead,2026-01-01,2026-03-31,"technologyreview.com, arxiv.org, blogs.nvidia.com",simulation-backed industrial decision support,executive memo,R&D director,"Build executive memo focused on simulation-backed industrial decision support for the R&D director. Restrict the search to technologyreview.com, arxiv.org, blogs.nvidia.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Industrial AI Scouting, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
foundation_model_benchmarking_002,"Foundation Model Benchmarking — Tradeoffs between quality, latency, and cost (executive memo)",Foundation Model Benchmarking,foundation_model_benchmarking,high,Benchmarking Lead,2026-01-01,2026-03-31,"arxiv.org, openai.com, anthropic.com","tradeoffs between quality, latency, and cost",executive memo,R&D director,"Build executive memo focused on tradeoffs between quality, latency, and cost for the R&D director. Restrict the search to arxiv.org, openai.com, anthropic.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Foundation Model Benchmarking, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
enterprise_agent_tooling_002,Enterprise Agent Tooling — Evaluation workflows for agentic systems (executive memo),Enterprise Agent Tooling,enterprise_agent_tooling,high,Agent Platform Lead,2026-01-01,2026-03-31,"langfuse.com, langchain.com, github.com",evaluation workflows for agentic systems,executive memo,R&D director,"Build executive memo focused on evaluation workflows for agentic systems for the R&D director. Restrict the search to langfuse.com, langchain.com, github.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Enterprise Agent Tooling, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
domain_constrained_innovation_scouting_002,Domain-Constrained Innovation Scouting — Simulation-first innovation signals (executive memo),Domain-Constrained Innovation Scouting,domain_constrained_innovation_scouting,high,Technology Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",simulation-first innovation signals,executive memo,R&D director,"Build executive memo focused on simulation-first innovation signals for the R&D director. Restrict the search to arxiv.org, blogs.nvidia.com, technologyreview.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Domain-Constrained Innovation Scouting, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should synthesize the strongest domain-specific sources, deduplicate repeated reporting, respect the hard source and timeframe constraints, explain the most relevant benchmark or workflow signals, and end with a structured report plus cited sources tailored to the R&D director."
generative_3d_world_models_003,Generative 3D World Models — Physical AI infrastructure for world simulation (executive memo),Generative 3D World Models,generative_3d_world_models,medium,Spatial AI Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",physical AI infrastructure for world simulation,executive memo,platform owner,"Create executive memo on physical AI infrastructure for world simulation in the context of Generative 3D World Models. The allowed domains are arxiv.org, blogs.nvidia.com, technologyreview.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
synthetic_tabular_data_003,Synthetic Tabular Data — Enterprise adoption patterns for synthetic tabular data (executive memo),Synthetic Tabular Data,synthetic_tabular_data,medium,Data Science Lead,2026-01-01,2026-03-31,"arxiv.org, openreview.net, github.com",enterprise adoption patterns for synthetic tabular data,executive memo,platform owner,"Create executive memo on enterprise adoption patterns for synthetic tabular data in the context of Synthetic Tabular Data. The allowed domains are arxiv.org, openreview.net, github.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
spatial_semantics_scene_graphs_003,Spatial Semantics and Scene Graphs — Semantic querying over scene graphs (executive memo),Spatial Semantics and Scene Graphs,spatial_semantics_scene_graphs,medium,Scene Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, omniverse.nvidia.com, github.com",semantic querying over scene graphs,executive memo,platform owner,"Create executive memo on semantic querying over scene graphs in the context of Spatial Semantics and Scene Graphs. The allowed domains are arxiv.org, omniverse.nvidia.com, github.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
robotics_simulation_003,Robotics Simulation — Benchmark suites for embodied agents (executive memo),Robotics Simulation,robotics_simulation,medium,Robotics Evaluation Lead,2026-01-01,2026-03-31,"blogs.nvidia.com, developer.nvidia.com, arxiv.org",benchmark suites for embodied agents,executive memo,platform owner,"Create executive memo on benchmark suites for embodied agents in the context of Robotics Simulation. The allowed domains are blogs.nvidia.com, developer.nvidia.com, arxiv.org; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
industrial_ai_scouting_003,Industrial AI Scouting — Digital twin acceleration with foundation models (executive memo),Industrial AI Scouting,industrial_ai_scouting,medium,Industrial Innovation Lead,2026-01-01,2026-03-31,"technologyreview.com, arxiv.org, blogs.nvidia.com",digital twin acceleration with foundation models,executive memo,platform owner,"Create executive memo on digital twin acceleration with foundation models in the context of Industrial AI Scouting. The allowed domains are technologyreview.com, arxiv.org, blogs.nvidia.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
foundation_model_benchmarking_003,Foundation Model Benchmarking — Evaluation leakage and benchmark contamination (executive memo),Foundation Model Benchmarking,foundation_model_benchmarking,medium,Benchmarking Lead,2026-01-01,2026-03-31,"arxiv.org, openai.com, anthropic.com",evaluation leakage and benchmark contamination,executive memo,platform owner,"Create executive memo on evaluation leakage and benchmark contamination in the context of Foundation Model Benchmarking. The allowed domains are arxiv.org, openai.com, anthropic.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
enterprise_agent_tooling_003,Enterprise Agent Tooling — Orchestration patterns with observability (executive memo),Enterprise Agent Tooling,enterprise_agent_tooling,medium,Agent Platform Lead,2026-01-01,2026-03-31,"langfuse.com, langchain.com, github.com",orchestration patterns with observability,executive memo,platform owner,"Create executive memo on orchestration patterns with observability in the context of Enterprise Agent Tooling. The allowed domains are langfuse.com, langchain.com, github.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
domain_constrained_innovation_scouting_003,Domain-Constrained Innovation Scouting — Observability tooling for enterprise agents (executive memo),Domain-Constrained Innovation Scouting,domain_constrained_innovation_scouting,medium,Technology Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",observability tooling for enterprise agents,executive memo,platform owner,"Create executive memo on observability tooling for enterprise agents in the context of Domain-Constrained Innovation Scouting. The allowed domains are arxiv.org, blogs.nvidia.com, technologyreview.com; the time window 2026-01-01 to 2026-03-31 is mandatory. Surface benchmarks, repositories, product signals, and technical documentation that matter for workflow integration and tooling fit, then close with a concise synthesis, explicit uncertainties, and cited sources.","The answer should behave like a constrained research analyst: scoped to the topic, bounded by the allowed domains and dates, explicit about uncertainty, structured into clear sections, and closed with cited sources and decision-oriented recommendations for the platform owner."
generative_3d_world_models_004,Generative 3D World Models — Multimodal tokenization for 3D environments (benchmark snapshot),Generative 3D World Models,generative_3d_world_models,medium,Spatial AI Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",multimodal tokenization for 3D environments,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on multimodal tokenization for 3D environments within Generative 3D World Models. Use only arxiv.org, blogs.nvidia.com, technologyreview.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
synthetic_tabular_data_004,Synthetic Tabular Data — Evaluation metrics for fidelity and privacy leakage (benchmark snapshot),Synthetic Tabular Data,synthetic_tabular_data,medium,Data Science Lead,2026-01-01,2026-03-31,"arxiv.org, openreview.net, github.com",evaluation metrics for fidelity and privacy leakage,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on evaluation metrics for fidelity and privacy leakage within Synthetic Tabular Data. Use only arxiv.org, openreview.net, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
spatial_semantics_scene_graphs_004,Spatial Semantics and Scene Graphs — Bridges between spatial semantics and robotics planning (benchmark snapshot),Spatial Semantics and Scene Graphs,spatial_semantics_scene_graphs,medium,Scene Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, omniverse.nvidia.com, github.com",bridges between spatial semantics and robotics planning,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on bridges between spatial semantics and robotics planning within Spatial Semantics and Scene Graphs. Use only arxiv.org, omniverse.nvidia.com, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
robotics_simulation_004,Robotics Simulation — Simulation fidelity versus deployment cost (benchmark snapshot),Robotics Simulation,robotics_simulation,medium,Robotics Evaluation Lead,2026-01-01,2026-03-31,"blogs.nvidia.com, developer.nvidia.com, arxiv.org",simulation fidelity versus deployment cost,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on simulation fidelity versus deployment cost within Robotics Simulation. Use only blogs.nvidia.com, developer.nvidia.com, arxiv.org. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
industrial_ai_scouting_004,Industrial AI Scouting — Vendor signals in industrial AI infrastructure (benchmark snapshot),Industrial AI Scouting,industrial_ai_scouting,medium,Industrial Innovation Lead,2026-01-01,2026-03-31,"technologyreview.com, arxiv.org, blogs.nvidia.com",vendor signals in industrial AI infrastructure,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on vendor signals in industrial AI infrastructure within Industrial AI Scouting. Use only technologyreview.com, arxiv.org, blogs.nvidia.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
foundation_model_benchmarking_004,Foundation Model Benchmarking — Domain-specific workload design for model testing (benchmark snapshot),Foundation Model Benchmarking,foundation_model_benchmarking,medium,Benchmarking Lead,2026-01-01,2026-03-31,"arxiv.org, openai.com, anthropic.com",domain-specific workload design for model testing,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on domain-specific workload design for model testing within Foundation Model Benchmarking. Use only arxiv.org, openai.com, anthropic.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
enterprise_agent_tooling_004,Enterprise Agent Tooling — Operational controls for long-running agents (benchmark snapshot),Enterprise Agent Tooling,enterprise_agent_tooling,medium,Agent Platform Lead,2026-01-01,2026-03-31,"langfuse.com, langchain.com, github.com",operational controls for long-running agents,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on operational controls for long-running agents within Enterprise Agent Tooling. Use only langfuse.com, langchain.com, github.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
domain_constrained_innovation_scouting_004,Domain-Constrained Innovation Scouting — Innovation radar methods for spatial computing (benchmark snapshot),Domain-Constrained Innovation Scouting,domain_constrained_innovation_scouting,medium,Technology Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",innovation radar methods for spatial computing,benchmark snapshot,platform owner,"Prepare benchmark snapshot for the platform owner on innovation radar methods for spatial computing within Domain-Constrained Innovation Scouting. Use only arxiv.org, blogs.nvidia.com, technologyreview.com. Treat content published between 2026-01-01 and 2026-03-31 as a hard constraint. Follow mission-native retrieval, avoid generic AI commentary, compare the strongest signals on maturity and production readiness, and finish with a structured report with cited sources plus three decision-oriented takeaways.","The answer should prioritize intrinsic sources from the requested domain, avoid drifting into generic AI news, surface the most decision-relevant evidence, and end with cited sources plus a practical synthesis for the platform owner."
generative_3d_world_models_005,Generative 3D World Models — Exportability into XR and game runtimes (benchmark snapshot),Generative 3D World Models,generative_3d_world_models,high,Spatial AI Lead,2026-01-01,2026-03-31,"arxiv.org, blogs.nvidia.com, technologyreview.com",exportability into XR and game runtimes,benchmark snapshot,innovation lead,"Build benchmark snapshot focused on exportability into XR and game runtimes for the innovation lead. Restrict the search to arxiv.org, blogs.nvidia.com, technologyreview.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Generative 3D World Models, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should preserve the hard scope constraints, compare the strongest benchmark or workflow signals, acknowledge uncertainty where evidence is thin, and finish as a structured report with cited sources for the innovation lead."
synthetic_tabular_data_005,Synthetic Tabular Data — Regulatory considerations for synthetic datasets (benchmark snapshot),Synthetic Tabular Data,synthetic_tabular_data,high,Data Science Lead,2026-01-01,2026-03-31,"arxiv.org, openreview.net, github.com",regulatory considerations for synthetic datasets,benchmark snapshot,innovation lead,"Build benchmark snapshot focused on regulatory considerations for synthetic datasets for the innovation lead. Restrict the search to arxiv.org, openreview.net, github.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Synthetic Tabular Data, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should preserve the hard scope constraints, compare the strongest benchmark or workflow signals, acknowledge uncertainty where evidence is thin, and finish as a structured report with cited sources for the innovation lead."
spatial_semantics_scene_graphs_005,Spatial Semantics and Scene Graphs — Grounded object relationships in large scenes (benchmark snapshot),Spatial Semantics and Scene Graphs,spatial_semantics_scene_graphs,high,Scene Intelligence Lead,2026-01-01,2026-03-31,"arxiv.org, omniverse.nvidia.com, github.com",grounded object relationships in large scenes,benchmark snapshot,innovation lead,"Build benchmark snapshot focused on grounded object relationships in large scenes for the innovation lead. Restrict the search to arxiv.org, omniverse.nvidia.com, github.com and only use material published from 2026-01-01 to 2026-03-31. Prioritize sources intrinsic to Spatial Semantics and Scene Graphs, deduplicate overlapping coverage, highlight what is production-capable versus still experimental, and end with cited sources and next-step recommendations.","The answer should preserve the hard scope constraints, compare the strongest benchmark or workflow signals, acknowledge uncertainty where evidence is thin, and finish as a structured report with cited sources for the innovation lead."
